219900,500000,40000,759000,249000,45000,289000,35000,589770,179900
589000,134900,134500,2650000,1100000,189900,299900,129000,109900,40000
28000,59000,389000,749000,179000,589000,167500,299999,129900,44900
245000,175000,649000,1499900,99000,125000,180000,24900,149000,97000
199900,35000,209900,86000,499900,349000,129900,22250,459900,295000
514000,267000,52900,5000,599000,65000,134900,209900,499000,124900
299950,173900,215000,55000,214900,65000,245000,664000,159900,389000
12000,87900,950000,54900,70000,15000,399000,600000,147500,329000
140000,514900,19900,185000,179000,149000,2900000,299900,1100000,15900
24999,147900,499900,259900,185000,59900,359000,210000,240000,169900
449900,169900,499000,69900,229900,49000,99500,1250000,70000,44500
27500,319900,359900,8000000,16000,235000,169900,50000,309000,85000
385000,217000,80000,350000,60000,229000,15000,389900,4900000,190000
650000,2895000,149900,225000,120000,249000,525000,414900,130000,399900
81750,169500,599000,13950,2195000,649000,339900,1295000,240000,180000
169000,292500,99900,229000,169900,379000,324900,99000,579000,94760
128900,274900,170000,30000,169000,219900,195000,90000,345000,24900
425000,174900,175000,699000,231901,139900,219900,100000,409900,499000
115000,169000,159900,239000,159900,359900,48999,549000,135000,234500
160000,59900,109900,899000,1399000,99000,259900,115000,165000,749000
580000,221900,580000,348999,519000,790000,340000,89900,18000,799000
399000,263500,109000,65000,273750,85000,175000,619000,569000,374900
4500000,59900,275000,65000,339000,449900,699900,350000,1450000,189900
420000,229000,99900,18000,199900,1650000,17000,2199950,169900,94900
42600,69900,119900,42000,700000,199900,205800,3250000,399900,249000
4299000,399900,135000,69900,2495000,119000,289900,69900,499999,54900
335000,245000,665000,235000,17000,157500,195000,759000,240900,299000
159900,55000,200000,79900,159900,249000,1695000,24900,745000,560000
75000,19900,5950000,795000,23000,239000,119000,235000,424500,74000
569000,54900,24000,1499999,1050000,579000,99000,229000,149000,45000
349900,149900,74900,14900,375000,54900,1299000,159900,208900,67000
949900,54900,105000,35000,149000,265000,29900,229900,78000,174900
325000,170000,215000,375000,330000,425000,349900,1575000,48500,119900
449900,300000,489000,349900,224900,670000,3199000,135000,329000,45900
324900,192000,18000,149900,150000,40000,80000,29000,23000,79500
287900,109900,199900,449900,60000,998900,339000,1450000,408800,599000
289900,209900,154900,119900,42890,255000,399000,699000,499900,255000
274900,2950000,14900,565000,599000,1295000,169000,114900,729000,94900
29000,425000,33800,125000,39500,289900,29900,40000,1049000,18000
239900,369000,17900,208000,399900,55900,20000,190000,219900,775000
121000,9900,119900,32900,369000,749000,499900,3052868,125000,2950000
121000,874500,17125,469000,179900,120000,395000,189900,8500,369000
24999,1100000,3325000,110000,84900,185000,1100000,699900,55000,269000
209900,489900,359900,209900,495900,629750,18000,54000,35000,299900
145000,94900,142000,29900,875000,174500,29900,22250,285000,499000
449000,162000,84900,329000,29900,159900,985000,180000,300000,1200000
219000,159000,81750,49900,12000,69000,12000,649000,249000,98700
379000,169900,425000,1400000,399000,95000,35300,59900,149900,720000
4900,699000,13000,229500,230000,19900,725000,399000,300000,185000
26000,169900,175000,289900,335000,1100000,274500,574999,64500,217000
385000,169000,229900,189000,130000,1200000,49900,125000,479000,274900
157900,60000,369900,59900,1900000,269900,116000,249000,315000,579900
267400,79900,17000,975000,275000,149900,7000,219000,14500,189000
162000,49000,142500,274900,565000,89900,799900,299900,2950000,64500
19900,109000,749000,5000000,3000000,189000,79900,139999,3895000,250000
39900,206500,189000,231901,4499000,49900,249000,409900,155000,637000
620000,399000,355000,35500,144000,45900,319900,129900,149000,24900
129500,199900,315000,389000,145000,829000,99900,124900,137000,2100000
349000,175000,210000,60000,429000,3295000,599000,2995000,139900,33800
14900,219950,164900,99900,274900,99900,23900,889000,99900,515900
369000,57990,949900,275000,75000,978000,59000,275000,244900,79900
159000,195000,1395000,145000,169900,389000,227500,309000,4200000,300000
291000,105000,250000,649000,149500,79900,2995000,75000,90900,649000
2500000,995000,600000,189000,5000,1200000,879000,253000,749900,58730
218500,1775000,499000,69900,349900,1300000,135000,79000,130000,174900
1350000,39900,79000,159900,299900,49900,116000,220000,1199000,35000
595000,144000,24500,1395000,70000,249000,189898,1150000,249000,199900
194900,29900,568000,229000,35900,5950000,157900,99000,1034000,69900
320000,135000,93000,625000,365000,685000,19900,7000,329000,1195000
249900,349900,27000,625000,749000,395000,899000,199000,10000000,104900
130000,399900,30900,199900,5000,339900,350000,263500,359900,24900
79900,259000,339999,18500,391000,619000,159500,199000,242666,148900
219950,10000,290000,48900,275000,20000,273750,69000,59900,129000
239000,195000,27000,399000,2695000,78000,319900,241900,489000,139900
167500,410000,30000,425000,59900,39000,380000,169000,42000,225000
160000,229000,269900,23000,338000,9000,3000,169000,278800,429900
125000,199000,449900,59900,220000,319000,1085000,359900,215000,3295000
255000,139000,48999,239900,50000,459900,45999,160000,37900,179900
22000,229000,589000,349900,329900,179900,29000,349900,280000,70000
45000,225000,64900,275000,199900,125000,224900,475000,210000,31999
169900,219000,45000,1160000,15000,145000,79600,189900,249000,339000
60000,145000,69900,210000,389900,1200000,449000,16000,1995000,490000
24900,35900,20000,107500,219900,41500,125000,99000,173900,99000
169000,333900,2655,1999999,164900,440000,299000,599000,327000,4900
849000,45000,1300000,450000,129900,335000,199900,425000,579000,44900
195000,9900,410000,1695000,115000,1999900,1322000,469000,97900,61000
189900,129900,149000,379990,124000,392500,2250000,349900,57500,82900
31500,279000,244900,790000,369000,17000,285000,89900,589000,64900
1499900,274900,359900,555000,629000,269000,389000,259900,22000,49900
1625000,41800,2500000,55000,49000,239900,299000,59900,164500,340000
99999,174900,349000,95000,87000,749900,69900,385000,209000,30000
629000,82900,210000,799000,395000,89900,2754000,169000,189900,3325000
105000,65600,565000,124400,139000,768000,624900,409000,325000,99000
73000,259900,239900,30000,29900,150000,159000,350000,229000,499900
60000,109900,17000,122500,825000,309000,1295000,65000,49900,159900
